Timestamp,Eth Src,Action
2025-04-21 19:53:54,00:00:00:00:00:16,00:00:00:00:00:13,Rate Limit at 500kbps (Prediction: DDoS_TCP)
2025-04-21 19:53:59,00:00:00:00:00:16,00:00:00:00:00:13,Rate Limit at 500kbps (Prediction: DDoS_TCP)
2025-04-21 19:54:04,00:00:00:00:00:16,00:00:00:00:00:13,Rate Limit at 500kbps (Prediction: DDoS_TCP)
2025-04-21 19:54:04,00:00:00:00:00:13,00:00:00:00:00:16,Rate Limit at 500kbps (Prediction: DDoS_TCP)
2025-04-21 19:54:05,00:00:00:00:00:13,00:00:00:00:00:16,Rate Limit at 500kbps (Prediction: DDoS_TCP)
2025-04-21 19:54:24,00:00:00:00:00:13,00:00:00:00:00:16,Rate Limit at 500kbps (Prediction: DDoS_TCP)
2025-04-21 19:54:25,00:00:00:00:00:16,00:00:00:00:00:13,Rate Limit at 500kbps (Prediction: DDoS_TCP)
2025-04-21 19:54:25,00:00:00:00:00:13,00:00:00:00:00:16,Rate Limit at 500kbps (Prediction: DDoS_TCP)
2025-04-21 19:54:30,00:00:00:00:00:16,00:00:00:00:00:13,Rate Limit at 500kbps (Prediction: DDoS_TCP)
2025-04-21 19:54:44,00:00:00:00:00:16,00:00:00:00:00:13,Rate Limit at 500kbps (Prediction: DDoS_TCP)
2025-04-21 19:54:44,00:00:00:00:00:13,00:00:00:00:00:16,Rate Limit at 500kbps (Prediction: DDoS_TCP)
2025-04-21 19:54:45,00:00:00:00:00:16,00:00:00:00:00:13,Rate Limit at 500kbps (Prediction: DDoS_TCP)
2025-04-21 19:54:50,00:00:00:00:00:16,00:00:00:00:00:13,Rate Limit at 500kbps (Prediction: DDoS_TCP)
2025-04-21 19:54:50,00:00:00:00:00:13,00:00:00:00:00:16,Rate Limit at 500kbps (Prediction: DDoS_TCP)
2025-04-21 19:54:54,00:00:00:00:00:13,00:00:00:00:00:16,Rate Limit at 500kbps (Prediction: DDoS_TCP)
2025-04-21 19:55:09,00:00:00:00:00:13,00:00:00:00:00:16,Rate Limit at 500kbps (Prediction: DDoS_TCP)
2025-04-21 19:55:15,00:00:00:00:00:13,00:00:00:00:00:16,Rate Limit at 500kbps (Prediction: DDoS_TCP)
2025-04-21 19:55:20,00:00:00:00:00:13,00:00:00:00:00:16,Rate Limit at 500kbps (Prediction: DDoS_TCP)
2025-04-21 19:55:24,00:00:00:00:00:13,00:00:00:00:00:16,Rate Limit at 500kbps (Prediction: DDoS_TCP)
2025-04-21 19:55:30,00:00:00:00:00:13,00:00:00:00:00:16,Rate Limit at 500kbps (Prediction: DDoS_TCP)
2025-04-21 19:55:34,00:00:00:00:00:16,00:00:00:00:00:13,Rate Limit at 500kbps (Prediction: DDoS_TCP)
2025-04-21 19:55:44,00:00:00:00:00:16,00:00:00:00:00:13,Rate Limit at 500kbps (Prediction: DDoS_TCP)
2025-04-21 19:55:44,00:00:00:00:00:13,00:00:00:00:00:16,Rate Limit at 500kbps (Prediction: DDoS_TCP)
2025-04-21 19:55:49,00:00:00:00:00:16,00:00:00:00:00:13,Rate Limit at 500kbps (Prediction: DDoS_TCP)
2025-04-21 19:55:50,00:00:00:00:00:13,00:00:00:00:00:16,Rate Limit at 500kbps (Prediction: DDoS_TCP)
2025-04-21 19:55:54,00:00:00:00:00:13,00:00:00:00:00:16,Rate Limit at 500kbps (Prediction: DDoS_TCP)
2025-04-21 19:55:55,00:00:00:00:00:13,00:00:00:00:00:16,Rate Limit at 500kbps (Prediction: DDoS_TCP)
2025-04-21 19:55:59,00:00:00:00:00:13,00:00:00:00:00:16,Rate Limit at 500kbps (Prediction: DDoS_TCP)
2025-04-21 19:56:00,00:00:00:00:00:13,00:00:00:00:00:16,Rate Limit at 500kbps (Prediction: DDoS_TCP)
2025-04-21 19:56:04,00:00:00:00:00:13,00:00:00:00:00:16,Rate Limit at 500kbps (Prediction: DDoS_TCP)
2025-04-21 19:56:09,00:00:00:00:00:16,00:00:00:00:00:13,Rate Limit at 500kbps (Prediction: DDoS_TCP)
